Flux1,Flux2,Flux3,Flux4,Flux5,Flux6,Flux7,Flux8,Flux9,Flux10,Flux11,Flux12,Time,Depths,Mstats
0.8917369330118791,0.9098952713657692,0.9279591294954258,0.94654972102317,0.9638365628005732,0.9801386436859308,0.9951045437496993,1.0027278054650974,1.003231811491823,1.003231811491823,1.003231811491823,1.003231811491823,20.58297655393858,,
0.8962573339171386,0.914090178433216,0.9318935392170704,0.9500697860834908,0.9668132598126334,0.982515076985642,0.9967718607673596,1.0029415772049284,1.0029450844072323,1.0029450844072323,1.0029450844072323,1.0029450844072323,20.603809281252325,,
0.9010242577095068,0.9185659316910186,0.9360674970715264,0.9537770087991884,0.9700215663959102,0.9851866381080896,0.9986333731690692,1.0029720978133947,1.0029720978133947,1.0029720978133947,1.0029720978133947,1.0029720978133947,20.624642006744125,,
0.9022517178169376,0.919515652755526,0.9366440623416254,0.9538703846794188,0.969702081770158,0.9842969514149144,0.9966924785704978,0.9995090701893627,0.9995090701893627,0.9995090701893627,0.9995090701893627,0.9995090701893627,20.64547473033849,,
0.9138132615423372,0.9307782397235386,0.9474526842921379,0.964276110969965,0.9797066297070118,0.9935958742046896,1.0046478797485834,1.0064182394242884,1.0064182394242884,1.0064182394242884,1.0064182394242884,1.0064182394242884,20.666307451978586,,
0.9210077777708472,0.9375947639356916,0.9538423131542064,0.9703126374430792,0.9852558177559678,0.9983226396515688,1.007867320083941,1.0089999272643235,1.0089999272643235,1.0089999272643235,1.0089999272643235,1.0089999272643235,20.687140171637797,,
0.9236566486762544,0.9398399435231156,0.9557294718096409,0.971827918151793,0.9861616198934484,0.9984498850442904,1.0065762710163613,1.007121292024743,1.007121292024743,1.007121292024743,1.007121292024743,1.007121292024743,20.707972889312263,,
0.9256420291198976,0.9414368901444764,0.9570190340606892,0.9726348154916872,0.9863401646381348,0.9979787385174294,1.0045791921354768,1.0046731130530706,1.0046731130530706,1.0046731130530706,1.0046731130530706,1.0046731130530706,20.72880560502563,,
0.9321623018369392,0.9473461565275548,0.962164307611996,0.9766144911810942,0.9893512103755904,0.9995295891346784,1.0026233001452989,1.0026233001452989,1.0026233001452989,1.0026233001452989,1.0026233001452989,1.0026233001452989,20.77047103078576,,
0.936433921217126,0.9513088109111286,0.965639211036998,0.9795749309337288,0.9918331902270241,1.0008454062275949,1.002702639285736,1.002702639285736,1.002702639285736,1.002702639285736,1.002702639285736,1.002702639285736,20.79130374099986,,
0.9431327972525408,0.9576432934579749,0.9715049991858992,0.984987183496284,0.9965775625576128,1.004120864161566,1.0052672527815842,1.0052672527815842,1.0052672527815842,1.0052672527815842,1.0052672527815842,1.0052672527815842,20.812136449585296,,
0.9444439534672466,0.9585110388600048,0.9720174532354764,0.9849876944418684,0.9957066251893498,1.0018715423589184,1.0025093668224279,1.0025093668224279,1.0025093668224279,1.0025093668224279,1.0025093668224279,1.0025093668224279,20.83296915668143,,
0.9506249574396938,0.9642549967297984,0.9774673060395076,0.9897877611485674,0.9996094713814137,1.0045416659237654,1.004739765541076,1.004739765541076,1.004739765541076,1.004739765541076,1.004739765541076,1.004739765541076,20.853801862440832,,
0.9543729301487766,0.9676370823129224,0.9805049335892668,0.9920770224910952,1.001144352302343,1.0046739816925236,1.0046739816925236,1.0046739816925236,1.0046739816925236,1.0046739816925236,1.0046739816925236,1.0046739816925236,20.874634567032444,,
